h3_9,lat,lon,nearest_highway,road_criticality,hospital,market,retail,school,transit,n_poi,osm_context
8961892e16fffff,12.994065666873066,77.66329733993808,primary,0.8,0.0,0.0,0.0,1.0,0.0,1,"primary road, 1 school"
8961892ec87ffff,12.968494172115385,77.65002909711538,secondary,0.6,0.0,0.0,0.0,2.0,1.0,3,"secondary road, 2 school, 1 transit"
8961892185bffff,13.0020152,77.7572534,primary,0.8,0.0,0.0,0.0,1.0,1.0,2,"primary road, 1 school, 1 transit"
8961892cb4bffff,13.07155345027933,77.59257436340782,tertiary,0.45,0.0,0.0,1.0,0.0,1.0,2,"tertiary road, 1 retail, 1 transit"
8960145810bffff,12.988058266666668,77.49444949999999,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89601458127ffff,12.985189114285715,77.48115752857143,primary,0.8,0.0,0.0,0.0,1.0,1.0,2,"primary road, 1 school, 1 transit"
89601459147ffff,13.044242433333332,77.5244829,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
8960145a5b7ffff,12.907779326303014,77.53291769391176,residential,0.25,0.0,0.0,0.0,0.0,2.0,2,"residential road, 2 transit"
8960169046bffff,13.198162175,77.7085091125,primary,0.8,0.0,0.0,0.0,0.0,11.0,11,"primary road, 11 transit"
8960145a663ffff,12.95746248,77.56060252,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8961892cb43ffff,13.068697296990395,77.59266236495226,residential,0.25,0.0,0.0,0.0,0.0,0.0,0,residential road
8960145b50fffff,12.973658388405797,77.5663177,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
89618925a0bffff,12.96728761345388,77.6081479140351,residential,0.25,0.0,0.0,0.0,2.0,2.0,4,"residential road, 2 school, 2 transit"
8960145b283ffff,13.008958926666669,77.58219012666667,residential,0.25,1.0,0.0,0.0,1.0,0.0,2,"residential road, 1 school, 1 hospital"
896014584d7ffff,12.973849266666669,77.53909370000001,tertiary,0.45,1.0,0.0,0.0,2.0,0.0,3,"tertiary road, 2 school, 1 hospital"
8961892e2bbffff,13.008266951430317,77.69522833572458,trunk,0.9,2.0,1.0,0.0,0.0,1.0,4,"trunk road, 1 market, 2 hospital, 1 transit"
8961892cbcfffff,13.062747825,77.59254347105264,tertiary,0.45,2.0,0.0,2.0,0.0,0.0,4,"tertiary road, 2 retail, 2 hospital"
896189243d7ffff,12.89981,77.62215783333333,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
8961892cc9bffff,13.025404052173911,77.62773566956521,tertiary,0.45,0.0,0.0,1.0,1.0,0.0,2,"tertiary road, 1 retail, 1 school"
8961892e4c7ffff,12.977852256603772,77.71324649245284,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
89618924817ffff,12.88584706153846,77.5707874,tertiary,0.45,1.0,0.0,0.0,0.0,0.0,1,"tertiary road, 1 hospital"
8961892cb63ffff,13.068377011111112,77.58439111111112,tertiary,0.45,0.0,0.0,0.0,0.0,0.0,0,tertiary road
89618921d53ffff,12.975966433333332,77.75136886666667,primary,0.8,0.0,0.0,0.0,0.0,0.0,0,primary road
89601458123ffff,12.9855888,77.4859179875,primary,0.8,0.0,0.0,0.0,0.0,1.0,1,"primary road, 1 transit"
8961892e00bffff,12.996415331564698,77.69325341568079,primary,0.8,0.0,0.0,0.0,0.0,3.0,3,"primary road, 3 transit"
8961892dd87ffff,13.067856483333337,77.6314107,secondary,0.6,0.0,0.0,0.0,0.0,0.0,0,secondary road
89601459863ffff,13.05437325,77.482257375,tertiary,0.45,0.0,0.0,0.0,0.0,1.0,1,"tertiary road, 1 transit"
8960145a397ffff,12.945838493023254,77.52975975813953,trunk_link,0.2,0.0,0.0,0.0,0.0,5.0,5,"trunk_link road, 5 transit"
89618927357ffff,12.907830231281826,77.67591353135634,secondary,0.6,1.0,0.0,1.0,0.0,0.0,2,"secondary road, 1 retail, 1 hospital"
